HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00274203; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00274203,OU=UO-SUL,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00237837; Inexistente - 1; -; -; -; -; -
MI00320309; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320309,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00068511; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068511,OU=RIO GRANDE,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00291684; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00291684,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00068405; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068405,OU=ALEMOA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00304912; Inexistente - 1; -; -; -; -; -
MI00321113; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321113,OU=GUARAREMA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00267899; Inexistente - 1; -; -; -; -; -
MI00295917; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00295917,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00249647; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00249647,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00254839; Inexistente - 1; -; -; -; -; -
NO00058855; Inexistente - 1; -; -; -; -; -
MI00248809; Inexistente - 1; -; -; -; -; -
MI00206264; Inexistente - 1; -; -; -; -; -
MI00300698; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00300698,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00094731; Desligado - 1; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094731,OU=OSORIO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00064211; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00064211,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00320776; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=MI00320776,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00203353; Inexistente - 1; -; -; -; -; -
EV00000955; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=EV00000955,OU=UO-AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
ES0005214; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES0005214,OU=UO-AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
NO00093918; Inexistente - 1; -; -; -; -; -
MI00206534; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00206534,OU=UO-AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
MI00274469; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00274469,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00290806; Inexistente - 1; -; -; -; -; -
MI00328990; Ligado - 0; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328990,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
