HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00320701; Desligado; True; IP; Windows 7 Enterprise; transp.biz; CN=MI00320701,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00316131; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316131,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320676; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320676,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320104; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00320104,OU=ILHA,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00229272; Desligado; ; ; ; transp.biz; 
MI00316160; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00316160,OU=Windows10,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321220; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321220,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00317880; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317880,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00286274; Desligado; ; ; ; transp.biz; 
MI00248952; Desligado; ; ; ; transp.biz; 
MI00237531; Desligado; ; ; ; transp.biz; 
MI00321252; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321252,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321371; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321371,OU=TEBIG,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00313784; Desligado; ; ; ; transp.biz; 
MI00321584; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321584,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00317883; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317883,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321606; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321606,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321281; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321281,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00286408; Desligado; ; ; ; transp.biz; 
MI00245281; Desligado; ; ; ; transp.biz; 
MI00289604; Desligado; ; ; ; transp.biz; 
MI00320620; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320620,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321381; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321381,OU=TEBIG,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320098; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320098,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320206; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00320206,OU=ILHA,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321666; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321666,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00315863; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00315863,OU=CELISEOS,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00228635; Ligado; ; ; ; transp.biz; 
ES004242; Desligado; ; ; ; transp.biz; 
MI00262376; Desligado; ; ; ; transp.biz; 
MI00319775; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00319775,OU=CELISEOS,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00316053; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316053,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00211306; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00211306,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321279; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321279,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
ES00008990; Desligado; ; ; ; transp.biz; 
MI00320140; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320140,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI196172; Inexistente; -; -; -; -; -
MI00316072; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316072,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00228873; Desligado; ; ; ; transp.biz; 
