HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
VR01PMNT; Ligado - 0; True; 10.227.206.193; Windows 10 Enterprise 2016 LTSB; petrobras.biz; CN=VR01PMNT,OU=CFTV-SISP-GENETEC,OU=CFTV,OU=TIC-RIO,OU=Servidores,DC=petrobras,DC=biz
STANDALONECOMPU; Inexistente - 0; -; -; -; -; -
SGF; Inexistente - 0; -; -; -; -; -
S8860AD42; Inexistente - 0; -; -; -; -; -
PBR19ZD5G; Inexistente - 0; -; -; -; -; -
NO032019; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO032019,OU=Notebooks,OU=PRSI,OU=UN-USA,OU=Inter,DC=petrobras,DC=biz
NO032000; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO032000,OU=Notebooks,OU=PRSI,OU=UN-USA,OU=Inter,DC=petrobras,DC=biz
NO030345; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO030345,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00095657; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00095657,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00095651; Ligado - 0; True; 10.162.122.46; Windows 10 Enterprise; petrobras.biz; CN=NO00095651,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00095035; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00095035,OU=OFFSHORE,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00095016; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00095016,OU=OFFSHORE,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00094874; Ligado - 0; True; 10.24.232.139; Windows 10 Enterprise; petrobras.biz; CN=NO00094874,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00094673; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00094673,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00094672; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00094672,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00094437; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00094437,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00094424; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00094424,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00094303; Desligado - DNS_ERRO; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00094303,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00093779; Desligado - 1; True; ; Windows 10 Enterprise; transp.biz; CN=NO00093779,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
NO00093615; Ligado - 0; True; 10.194.13.26; Windows 7 Enterprise; petrobras.biz; CN=NO00093615,OU=UO-RNCE,OU=GERAL,OU=TIC-NE,OU=Notebooks,DC=petrobras,DC=biz
NO00093550; Ligado - 0; True; 10.155.2.20; Windows 10 Enterprise; petrobras.biz; CN=NO00093550,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00093548; Ligado - 0; True; 10.155.2.15; Windows 10 Enterprise; petrobras.biz; CN=NO00093548,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00093120; Ligado - 0; True; 10.25.130.29; Windows 10 Enterprise; petrobras.biz; CN=NO00093120,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092895; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00092895,OU=REDUC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092689; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00092689,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092513; Ligado - 0; True; 10.25.48.13; Windows 7 Enterprise; petrobras.biz; CN=NO00092513,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092507; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00092507,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092375; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00092375,OU=UO-RNCE,OU=GERAL,OU=TIC-NE,OU=Notebooks,DC=petrobras,DC=biz
NO00092235; Ligado - 0; True; 10.17.196.128; Windows 7 Enterprise; transp.biz; CN=NO00092235,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
NO00091598; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091598,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091539; Ligado - 0; True; 10.24.141.117; Windows 10 Enterprise; petrobras.biz; CN=NO00091539,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091385; Ligado - 0; True; 10.25.160.131; Windows 10 Enterprise; petrobras.biz; CN=NO00091385,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091298; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091298,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091250; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00091250,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
