HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00260998; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00260998,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00258349; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00258349,OU=REDUC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00063571; Inexistente; -; -; -; -; -
MI00234553; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00234553,OU=GERAL,OU=TIC-ES,OU=Desktops,DC=petrobras,DC=biz
NO00090855; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00090855,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00267754; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00267754,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00073729; Inexistente; -; -; -; -; -
NO00041308; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00041308,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00277249; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00277249,OU=COMPERJ,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00262232; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00262232,OU=Teste-WFirewall,OU=LABTIC,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00283185; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283185,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00071401; Inexistente; -; -; -; -; -
MI00267578; Inexistente; -; -; -; -; -
NO00046830; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00046830,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00068838; Inexistente; -; -; -; -; -
NO00047259; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00047259,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00295832; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00295832,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00290502; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00290502,OU=Teste-WFirewall,OU=LABTIC,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MV00004255; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MV00004255,OU=DEDICADOS,OU=CORP,OU=VDI,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00305328; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00305328,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00050949; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00050949,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00203885; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00203885,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MV00002917; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MV00002917,OU=DEDICADOS,OU=CORP,OU=VDI,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00093791; Inexistente; -; -; -; -; -
MI00235544; Inexistente; -; -; -; -; -
MI00286282; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00286282,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00007466; Inexistente; -; -; -; -; -
MI00203667; Inexistente; -; -; -; -; -
NO00058842; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00058842,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00060090; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00060090,OU=REDUC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00319413; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00319413,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00094012; Inexistente; -; -; -; -; -
NO00085901; Inexistente; -; -; -; -; -
NO00087827; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00087827,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00092272; Inexistente; -; -; -; -; -
MI00285987; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00285987,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00045148; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00045148,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091462; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00091462,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00085755; Inexistente; -; -; -; -; -
MI00253917; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00253917,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00047250; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00047250,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00068999; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00068999,OU=UO-BA,OU=GERAL,OU=TIC-BA,OU=Notebooks,DC=petrobras,DC=biz
MI00267724; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00267724,OU=Teste-WFirewall,OU=LABTIC,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00092548; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00092548,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
