HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
NO00081384; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00081384,OU=PARANAGUA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00317825; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317825,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00325594; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325594,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00094374; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094374,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00080132; Inexistente; -; -; -; -; -
MI00325508; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325508,OU=ALEMOA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00318609; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00318609,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00082020; Inexistente; -; -; -; -; -
NO00074004; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00074004,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00092114; Inexistente; -; -; -; -; -
NO00061581; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00061581,OU=Cabiunas,OU=TIC-BC,OU=Notebooks,DC=transp,DC=biz
NO00072848; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00072848,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00094256; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094256,OU=GUARAMIRIM,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00094383; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094383,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00320497; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320497,OU=Novos Computadores,DC=transp,DC=biz
NO00079428; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00079428,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00320263; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320263,OU=SAO CAETANO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00209392; Inexistente; -; -; -; -; -
MI00322148; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00322148,OU=ALEMOA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
